IDD,AddressName,AddressStreet,AddressLocation,AddressPhone,HoursDays,HoursTime,HeadImageTag,Event1,Event2
AUS,Austin Guidance Center,1&zwnj;0710 Research Blvd., Ste. 120,A&zwnj;ustin, TX 7&zwnj;8759,(51&zwnj;2) 808-2821,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 pm,<img src="images/AUS-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Austin Guidance Center">,T&zwnj;hursday, M&zwnj;arch 26 | 2&zwnj;:30 to 4 pm,&nbsp;
CLE,Cleveland Guidance Center,19&zwnj;15 Snow Rd., Ste. 4,P&zwnj;arma, OH 4&zwnj;4134,(2&zwnj;16) 778-6810,Open M&zwnj;onday through F&zwnj;riday,8:30 a&zwnj;m to 5 pm,<img src="images/CLE-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Cleveland Guidance Center">,T&zwnj;uesday, M&zwnj;arch 17 | 1&zwnj;0:30 to 12 pm,&nbsp;
COL,Columbus Guidance Center,20&zwnj;25 W. Henderson Rd., Ste. 3A,C&zwnj;olumbus, OH 4&zwnj;3220,(6&zwnj;14) 538-3000,Open M&zwnj;onday through F&zwnj;riday,8:30 a&zwnj;m to 5 pm,<img src="images/COL-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Columbus Guidance Center">,W&zwnj;ednesday, M&zwnj;arch 18 | 2&zwnj;:15 to 3:45 pm,&nbsp;
HEN,Henderson Guidance Center,10&zwnj;00 N. Green Valley Pkwy., Ste. 720,H&zwnj;enderson, NV 8&zwnj;9074,(70&zwnj;2) 269-5200,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 5 pm,<img src="images/HEN-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Henderson Guidance Center">,W&zwnj;ednesday, M&zwnj;arch 4 | 9 to 1&zwnj;1 am, <br><font style=padding-left:115px;>OR</font><br><strong>T&zwnj;hursday, M&zwnj;arch 5 | 1 to 3 p&zwnj;m</strong>
HOU,Houston Guidance Center,96&zwnj;64 Westheimer Rd., Ste. 100,H&zwnj;ouston, TX 7&zwnj;7063,(71&zwnj;3) 360-5290,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 pm,<img src="images/HOU-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Houston Guidance Center">,W&zwnj;ednesday, M&zwnj;arch 18 | 9 to 1&zwnj;0:30 am,&nbsp;
KCK,Kansas City Guidance Center,2&zwnj;15 N.E. Englewood Rd., Ste. A,K&zwnj;ansas City, MO 6&zwnj;4118,(8&zwnj;16) 459-7776,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 pm,<img src="images/KCK-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Kansas City Guidance Center">,T&zwnj;hursday, M&zwnj;arch 19 | 1 to 2&zwnj;:30 pm,&nbsp;
KNOX,Knoxville Guidance Center,44&zwnj;38 Western Ave.,Kn&zwnj;oxville, TN 3&zwnj;7921,(8&zwnj;65) 329-8892,Open M&zwnj;onday through F&zwnj;riday,8:30 a&zwnj;m to 5 pm,<img src="images/KNOX-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Knoxville Guidance Center">,F&zwnj;riday, M&zwnj;arch 13 | 10 to 1&zwnj;1:30 am, <br><font style=padding-left:115px;>OR</font><br><strong>F&zwnj;riday, M&zwnj;arch 27 | 1&zwnj;0 to 1&zwnj;1:30 am</strong>
KISS,Kissimmee Guidance Center,3&zwnj;189 W. Vine St.,K&zwnj;issimmee, FL 3&zwnj;4741,(4&zwnj;07) 932-5340,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 pm,<img src="images/KISS-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Kissimmee Guidance Center">,W&zwnj;ednesday, M&zwnj;arch 11 | 10 to 1&zwnj;1:30 am,&nbsp;
LOM,Lombard Guidance Center,2&zwnj;050-50 S. Finley Rd.,L&zwnj;ombard, IL 6&zwnj;0148,(6&zwnj;30) 613-2800,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 4:30 pm,<img src="images/LOM-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Lombard Guidance Center">,M&zwnj;onday, M&zwnj;arch 30 |  1 to 2&zwnj;:30 pm,&nbsp;
LOU,Louisville Guidance Center,1&zwnj;918 Hikes Ln., Ste. 101,L&zwnj;ouisville, KY 4&zwnj;0218,(5&zwnj;02) 479-6580,Open M&zwnj;onday through F&zwnj;riday,8:30 a&zwnj;m to 5 pm,<img src="images/LOU-head.png" style="padding-bottom:1px;"  height="40"width="650"ALT="Your Louisville Guidance Center">,T&zwnj;hursday, M&zwnj;arch 26 | 2 to 3&zwnj;:30 pm,&nbsp;
