ID,Address-Name,Address-Street,Address-Location,Address-Phone,Phone-CTA,Hours-Days,Hours-Time,Event1-Day,Event1-Time,Seed-Email,LandingPage-URL
AUS,Austin Guidance Center,"10710 Research Blvd., Ste. 120","Austin, TX 78759",(512) 808-2820,(512) 808-2820,Open M&zwnj;onday through Friday,9 am to 5 pm,"Wednesday, February 18",1:30 to 2:30 PM,,https://www.humana.com/about/guidance-center/tx/10710-research-blvd-austin
BAT,Baton Rouge Guidance Center,10330 Airline Hwy.,"Baton Rouge, LA 70816",(225) 442-6100,(225) 442-6100,Open M&zwnj;onday through Friday,9 am to 5 pm,"Tuesday, February 10",10 to 11 am,,https://www.humana.com/about/guidance-center/la/10330-airline-highway-baton-rouge
CLE,Cleveland Guidance Center,"1915 Snow Rd., Ste. 4","Parma, OH 44134",(216) 778-6810,(216) 778-6810,Open M&zwnj;onday through Friday,8:30 am to 5 pm,"Thursday, February 26",10 to 11:30 am,,http://humana.com/guidancecenter
COL,Columbus Guidance Center,"2025 W. Henderson Rd., Ste. 3A","Columbus, OH 43220",(614) 538-3000,(614) 538-3000,Open M&zwnj;onday through Friday,8:30 am to 5 pm,"Tuesday, February 17",12:15 to 1:15 pm,,https://www.humana.com/about/guidance-center/oh/2025-w-henderson-road-columbus
HEN,Henderson Guidance Center,"1000 N. Green Valley Pkwy., Ste. 720","Henderson, NV 89074",(702) 269-5200,(702) 269-5200,Open M&zwnj;onday through Friday,8 am to 5 pm,"Friday, February 6",1:30 to 3 pm,,https://www.humana.com/about/guidance-center/nv/1000-n-green-valley-parkway-henderson
HOU,Houston Guidance Center,"9664 Westheimer Rd., Ste. 100","Houston, TX 77063",(713) 360-5290,(713) 360-5290,Open M&zwnj;onday through Friday,9 am to 5 pm,"Tuesday, February 3",1 to 2 pm,,https://www.humana.com/about/guidance-center/tx/9664-westheimer-road-houston
KCK,Kansas City Guidance Center,"215 N.E. Englewood Rd., Ste. A","Kansas City, MO 64118",(816) 459-7776,(816) 459-7776,Open M&zwnj;onday through Friday,9 am to 5 pm,"Wednesday, February 4",2:30 to 3:30 pm,,https://www.humana.com/about/guidance-center/mo/215-ne-englewood-road-kansas-city
KISS,Kissimmee Guidance Center,3189 W. Vine St.,"Kissimmee, FL 34741",(407) 932-5340,(407) 932-5340,Open M&zwnj;onday through Friday,9 am to 5 pm,"Wednesday, February 18",11 am to 12 pm,,https://www.humana.com/about/guidance-center/fl/3189-w-vine-street-kissimmee
KNOX,Knoxville Guidance Center,4438 Western Ave.,"Knoxville, TN 37921",(865) 329-8892,(865) 329-8892,Open M&zwnj;onday through Friday,8:30 am to 5 pm,"Friday, February 13",10:30 to 11:30 am,,https://www.humana.com/about/guidance-center/tn/4438-western-avenue-knoxville
LOM,Lombard Guidance Center,2050-50 S. Finley Rd.,"Lombard, IL 60148",(630) 613-2800,(630) 613-2800,Open M&zwnj;onday through Friday,8 am to 4:30 pm,"Thursday, February 26",1:45 to 2:45 pm,,https://www.humana.com/about/guidance-center/il/2050-50-s-finley-road-lombard
LOU,Louisville Guidance Center,"1918 Hikes Ln., Ste. 101","Louisville, KY 40218",(502) 479-6580,(502) 479-6580,Open M&zwnj;onday through Friday,8:30 am to 5 pm,"Thursday, February 26",12:30 to 1:30 pm,,https://www.humana.com/about/guidance-center/ky/1918-hikes-lane-louisville
MES,Mesa Guidance Center,"5943 E. McKellips Rd., Ste. 106","Mesa, AZ 85215",(480) 325-4707,(480) 325-4707,Open M&zwnj;onday through Friday,9 am to 5 pm,"Wednesday, February 4",12:30 to 1:30 pm,,https://www.humana.com/about/guidance-center/az/5943-e-mckellips-road-mesa
NAP,Naperville Guidance Center,"1964 Springbrook Sq. Dr., Ste. 108","Naperville, IL 60564",(630) 328-5029,(630) 328-5029,Open M&zwnj;onday through Friday,8 am to 4:30 pm,"Wednesday, February 18",1 to 2 pm,,https://www.humana.com/about/guidance-center/il/1964-springbrook-square-drive-naperville
NOM,New Orleans Guidance Center,"1107 Veterans Blvd., Ste. 2B","Metairie, LA 70005",(504) 840-0906,(504) 840-0906,Open M&zwnj;onday through Friday,9 am to 5 pm,"Wednesday, February 25",10 to 11 am,,https://www.humana.com/about/guidance-center/la/1107-veterans-blvd-metairie
PEO,Peoria Guidance Center,7915 N. Hale Ave.,"Peoria, IL 61615",(309) 691-1677,(309) 691-1677,Open M&zwnj;onday through Friday,8 am to 5 pm,"Thursday, February 5",12 to 1 pm,,https://www.humana.com/about/guidance-center/il/7915-n-hale-avenue-peoria
RAL,Raleigh Guidance Center,"8800 Harvest Oaks Dr., Ste. 100","Raleigh, NC 27615",(919) 870-4992,(919) 870-4992,Open M&zwnj;onday through Friday,9 am to 5 pm,"Friday, February 13",10 to 11 am,,https://www.humana.com/about/guidance-center/nc/8800-harvest-oaks-drive-raleigh
SAN,San Antonio Guidance Center,"803 Castroville Rd., Ste. 300","San Antonio, TX 78237",(210) 424-6086,(210) 424-6086,Open M&zwnj;onday through Friday,9 am to 5 pm,"Wednesday, February 4",1:30 to 2:30 pm,,https://www.humana.com/about/guidance-center/tx/803-castroville-road-san-antonio
SUM,Summerlin Guidance Center,"8975 W. Charleston Bld., Ste. 100","Las Vegas, NV 89117",(702) 380-6170,(702) 380-6170,Open M&zwnj;onday through Friday,8 am to 5 pm,"Thursday, February 5",2:30 to 3:30 pm,,https://www.humana.com/about/guidance-center/nv/8975-w-charleston-blvd-las-vegas
TAMC,Tamarac Guidance Center,7666 Nob Hill Rd.,"Tamarac, FL 33321",(954) 724-1540,(954) 724-1540,Open M&zwnj;onday through Friday,9 am to 5 pm,"Wedneday, February 4",11 am to 12 pm,,https://www.humana.com/about/guidance-center/fl/7666-nob-hill-road-tamarac
ZEP,Zephyrhills Guidance Center,7920 Gall Blvd.,"Zephyrhills, FL 33541",(813) 780-7300,(813) 780-7300,Open M&zwnj;onday through Friday,8:30 am to 5 pm,"Monday, February 2 ",12 to 1 pm,,https://www.humana.com/about/guidance-center/fl/7920-gall-blvd-zephyrhills
