ID,Address-Name,Address-Street,Address-Location,Address-Phone,Phone-CTA,Hours-Days,Hours-Time,Event1-Day,Event1-Time,Seed-Email,LandingPage-URL
AUS,Austin Guidance Center,"10710 Research Blvd., Ste. 120","Austin, TX 78759",(512) 808-2820,(512) 808-2820,Open M&zwnj;onday through Friday,9 am to 5 pm,"Wednesday, February 18",1:30 to 2:30 pm,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/tx/10710-research-blvd-austin
BAT,Baton Rouge Guidance Center,1&zwnj;0330 Airline Hwy.,"B&zwnj;aton Rouge, L&zwnj;A 7&zwnj;0816",(2&zwnj;25) 4&zwnj;42-6100,(225) 442-6100,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 p&zwnj;m,"T&zwnj;uesday, F&zwnj;ebruary 10",1&zwnj;0 to 11 a&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/la/10330-airline-highway-baton-rouge
CLE,Cleveland Guidance Center,"1915 Snow Rd., Ste. 4","Parma, OH 44134",(216) 778-6810,(216) 778-6810,Open M&zwnj;onday through Friday,8:30 am to 5 pm,"Thursday, February 26",10 to 11:30 am,gcwaxtest@waxcom.com,http://humana.com/guidancecenter
COL,Columbus Guidance Center,"2&zwnj;025 W. Henderson Rd., Ste. 3A","C&zwnj;olumbus, O&zwnj;H 4&zwnj;3220",(6&zwnj;14) 5&zwnj;38-3000,(614) 538-3000,Open M&zwnj;onday through F&zwnj;riday,8&zwnj;:30 am to 5 p&zwnj;m,"T&zwnj;uesday, F&zwnj;ebruary 1&zwnj;7",1&zwnj;2:15 to 1&zwnj;:15 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/oh/2025-w-henderson-road-columbus
HEN,Henderson Guidance Center,"1&zwnj;000 N. Green Valley Pkwy., Ste. 720","H&zwnj;enderson, N&zwnj;V 8&zwnj;9074",(7&zwnj;02) 2&zwnj;69-5200,(702) 269-5200,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 5 p&zwnj;m,"F&zwnj;riday, F&zwnj;ebruary 6",1&zwnj;:30 to 3 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/nv/1000-n-green-valley-parkway-henderson
HOU,Houston Guidance Center,"9&zwnj;664 Westheimer Rd., Ste. 100","H&zwnj;ouston, T&zwnj;X 7&zwnj;7063",(7&zwnj;13) 3&zwnj;60-5290,(713) 360-5290,Open M&zwnj;onday through F&zwnj;riday,9&zwnj; a&zwnj;m to 5 p&zwnj;m,"T&zwnj;uesday, F&zwnj;ebruary 3",1&zwnj; to 2 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/tx/9664-westheimer-road-houston
KCK,Kansas City Guidance Center,"2&zwnj;15 N.E. Englewood Rd., Ste. A","K&zwnj;ansas City, M&zwnj;O 6&zwnj;4118",(8&zwnj;16) 4&zwnj;59-7776,(816) 459-7776,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 p&zwnj;m,"W&zwnj;ednesday, F&zwnj;ebruary 4",2&zwnj;:30 to 3&zwnj;:30 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/mo/215-ne-englewood-road-kansas-city
KISS,Kissimmee Guidance Center,3&zwnj;189 W. Vine St.,"K&zwnj;issimmee, F&zwnj;L 3&zwnj;4741",(4&zwnj;07) 9&zwnj;32-5340,(407) 932-5340,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 p&zwnj;m,"W&zwnj;ednesday, F&zwnj;ebruary 18",1&zwnj;1 a&zwnj;m to 12 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/fl/3189-w-vine-street-kissimmee
KNOX,Knoxville Guidance Center,4&zwnj;438 Western Ave.,"K&zwnj;noxville, T&zwnj;N 3&zwnj;7921",(8&zwnj;65) 3&zwnj;29-8892,(865) 329-8892,Open M&zwnj;onday through F&zwnj;riday,8&zwnj;:30 a&zwnj;m to 5 p&zwnj;m,"F&zwnj;riday, F&zwnj;ebruary 1&zwnj;3",1&zwnj;0:30 to 1&zwnj;1:30 a&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/tn/4438-western-avenue-knoxville
LOM,Lombard Guidance Center,2&zwnj;050-50 S. Finley Rd.,"L&zwnj;ombard, I&zwnj;L 6&zwnj;0148",(6&zwnj;30) 6&zwnj;13-2800,(630) 613-2800,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 4&zwnj;:30 p&zwnj;m,"T&zwnj;hursday, F&zwnj;ebruary 2&zwnj;6",1&zwnj;:45 to 2&zwnj;:45 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/il/2050-50-s-finley-road-lombard
LOU,Louisville Guidance Center,"1&zwnj;918 Hikes Ln., Ste. 101","L&zwnj;ouisville, K&zwnj;Y 4&zwnj;0218",(5&zwnj;02) 4&zwnj;79-6580,(502) 479-6580,Open M&zwnj;onday through F&zwnj;riday,8&zwnj;:30 am to 5 p&zwnj;m,"T&zwnj;hursday, F&zwnj;ebruary 2&zwnj;6",1&zwnj;2:30 to 1&zwnj;:30 pm,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/ky/1918-hikes-lane-louisville
MES,Mesa Guidance Center,"5&zwnj;943 E. McKellips Rd., Ste. 106","M&zwnj;esa, A&zwnj;Z 8&zwnj;5215",(4&zwnj;80) 3&zwnj;25-4707,(480) 325-4707,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 p&zwnj;m,"W&zwnj;ednesday, F&zwnj;ebruary 4",1&zwnj;2:30 to 1&zwnj;:30 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/az/5943-e-mckellips-road-mesa
NAP,Naperville Guidance Center,"1&zwnj;964 Springbrook Sq. Dr., Ste. 108","N&zwnj;aperville, I&zwnj;L 6&zwnj;0564",(6&zwnj;30) 3&zwnj;28-5029,(630) 328-5029,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 4&zwnj;:30 p&zwnj;m,"W&zwnj;ednesday, F&zwnj;ebruary 1&zwnj;8",1 to 2 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/il/1964-springbrook-square-drive-naperville
NOM,New Orleans Guidance Center,"1&zwnj;107 Veterans Blvd., Ste. 2B","M&zwnj;etairie, L&zwnj;A 7&zwnj;0005",(5&zwnj;04) 8&zwnj;40-0906,(504) 840-0906,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m t&zwnj;o 5 p&zwnj;m,"W&zwnj;ednesday, F&zwnj;ebruary 25",1&zwnj;0 t&zwnj;o 11 a&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/la/1107-veterans-blvd-metairie
PEO,Peoria Guidance Center,7&zwnj;915 N. Hale Ave.,"P&zwnj;eoria, I&zwnj;L 6&zwnj;1615",(3&zwnj;09) 6&zwnj;91-1677,(309) 691-1677,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m t&zwnj;o 5 p&zwnj;m,"T&zwnj;hursday, F&zwnj;ebruary 5",1&zwnj;2 to 1 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/il/7915-n-hale-avenue-peoria
RAL,Raleigh Guidance Center,"8&zwnj;800 Harvest Oaks Dr., Ste. 100","R&zwnj;aleigh, N&zwnj;C 2&zwnj;7615",(9&zwnj;19) 870-4&zwnj;992,(919) 870-4992,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m t&zwnj;o 5 p&zwnj;m,"F&zwnj;riday, F&zwnj;ebruary 13",1&zwnj;0 to 11 a&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/nc/8800-harvest-oaks-drive-raleigh
SAN,San Antonio Guidance Center,"8&zwnj;03 Castroville Rd., Ste. 300","S&zwnj;an Antonio, T&zwnj;X 7&zwnj;8237",(2&zwnj;10) 4&zwnj;24-6086,(210) 424-6086,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 p&zwnj;m,"W&zwnj;ednesday, F&zwnj;ebruary 4",1&zwnj;:30 to 2&zwnj;:30 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/tx/803-castroville-road-san-antonio
SUM,Summerlin Guidance Center,"8&zwnj;975 W. Charleston Bld., Ste. 100","L&zwnj;as Vegas, N&zwnj;V 8&zwnj;9117",(7&zwnj;02) 3&zwnj;80-6170,(702) 380-6170,Open M&zwnj;onday through F&zwnj;riday,8 a&zwnj;m to 5 p&zwnj;m,"T&zwnj;hursday, F&zwnj;ebruary 5",2&zwnj;:30 to 3&zwnj;:30 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/nv/8975-w-charleston-blvd-las-vegas
TAMC,Tamarac Guidance Center,7&zwnj;666 Nob Hill Rd.,"T&zwnj;amarac, FL 3&zwnj;3321",(9&zwnj;54) 7&zwnj;24-1540,(954) 724-1540,Open M&zwnj;onday through F&zwnj;riday,9 a&zwnj;m to 5 p&zwnj;m,"W&zwnj;edneday, F&zwnj;ebruary 4",1&zwnj;1 a&zwnj;m to 12 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/fl/7666-nob-hill-road-tamarac
ZEP,Zephyrhills Guidance Center,7&zwnj;920 Gall Blvd.,"Z&zwnj;ephyrhills, F&zwnj;L 3&zwnj;3541",(8&zwnj;13) 7&zwnj;80-7300,(813) 780-7300,Open M&zwnj;onday through F&zwnj;riday,8&zwnj;:30 am to 5 p&zwnj;m,"M&zwnj;onday, F&zwnj;ebruary 2 ",1&zwnj;2 to 1 p&zwnj;m,gcwaxtest@waxcom.com,https://www.humana.com/about/guidance-center/fl/7920-gall-blvd-zephyrhills
